"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max.","Class"
"fBodyAcc-std()-X","-0.7795","-0.6512","-0.5976","-0.5762","-0.5442","-0.1039","numeric"
"fBodyAcc-std()-Y","-0.7078","-0.5907","-0.5321","-0.4924","-0.4213","-0.04558","numeric"
"fBodyAcc-std()-Z","-0.7532","-0.6932","-0.6494","-0.5944","-0.5342","-0.1125","numeric"
"fBodyAcc-meanFreq()-X","-0.4972","-0.2652","-0.2186","-0.2322","-0.1841","-0.1068","numeric"
"fBodyAcc-meanFreq()-Y","-0.2535","-0.02886","0.0306","0.008774","0.06075","0.1281","numeric"
"fBodyAcc-meanFreq()-Z","-0.2601","0.003426","0.04955","0.03773","0.08792","0.1604","numeric"
"fBodyAccJerk-mean()-X","-0.8513","-0.707","-0.6435","-0.6359","-0.5862","-0.1848","numeric"
"fBodyAccJerk-mean()-Y","-0.7922","-0.6861","-0.6094","-0.6049","-0.553","-0.2281","numeric"
"fBodyAccJerk-mean()-Z","-0.8771","-0.7772","-0.7397","-0.7316","-0.7089","-0.4343","numeric"
"fBodyAccJerk-std()-X","-0.8524","-0.7069","-0.6377","-0.6332","-0.5817","-0.2025","numeric"
"fBodyAccJerk-std()-Y","-0.7778","-0.6734","-0.6022","-0.5853","-0.5175","-0.2249","numeric"
"fBodyAccJerk-std()-Z","-0.894","-0.8145","-0.7803","-0.7706","-0.7501","-0.5161","numeric"
"fBodyAccJerk-meanFreq()-X","-0.3584","-0.09514","-0.03559","-0.06387","-0.005503","0.1003","numeric"
"fBodyAccJerk-meanFreq()-Y","-0.5929","-0.2896","-0.2091","-0.2276","-0.1654","-0.08156","numeric"
"fBodyAccJerk-meanFreq()-Z","-0.4658","-0.1722","-0.1151","-0.1347","-0.08593","0.01124","numeric"
"fBodyGyro-mean()-X","-0.824","-0.7065","-0.6612","-0.6489","-0.6293","-0.3087","numeric"
"fBodyGyro-mean()-Y","-0.8557","-0.776","-0.7221","-0.6851","-0.6279","-0.1864","numeric"
"fBodyGyro-mean()-Z","-0.8111","-0.7058","-0.6551","-0.6212","-0.5524","-0.1789","numeric"
"fBodyGyro-std()-X","-0.848","-0.7706","-0.7273","-0.7179","-0.6928","-0.3723","numeric"
"fBodyGyro-std()-Y","-0.8103","-0.7655","-0.6712","-0.6463","-0.5782","-0.03394","numeric"
"fBodyGyro-std()-Z","-0.8198","-0.7501","-0.6971","-0.6729","-0.6442","-0.3627","numeric"
"fBodyGyro-meanFreq()-X","-0.3199","-0.1487","-0.1119","-0.1082","-0.05456","0.02891","numeric"
"fBodyGyro-meanFreq()-Y","-0.4383","-0.2315","-0.1677","-0.1754","-0.09284","-0.04279","numeric"
"fBodyGyro-meanFreq()-Z","-0.2297","-0.08939","-0.05389","-0.05304","-0.00316","0.1303","numeric"
"fBodyAccMag-mean()","-0.7564","-0.6396","-0.5629","-0.5606","-0.5164","-0.0676","numeric"
"fBodyAccMag-std()","-0.7732","-0.7015","-0.6505","-0.6393","-0.6088","-0.2643","numeric"
"fBodyAccMag-meanFreq()","-0.1469","0.03766","0.07815","0.07316","0.1198","0.1922","numeric"
"fBodyBodyAccJerkMag-mean()","-0.8282","-0.6774","-0.6048","-0.5984","-0.5375","-0.1197","numeric"
"fBodyBodyAccJerkMag-std()","-0.826","-0.6825","-0.6192","-0.6219","-0.5669","-0.2543","numeric"
"fBodyBodyAccJerkMag-meanFreq()","0.04973","0.1193","0.1631","0.1674","0.2167","0.2812","numeric"
"fBodyBodyGyroMag-mean()","-0.8314","-0.7499","-0.7009","-0.6748","-0.6191","-0.2483","numeric"
"fBodyBodyGyroMag-std()","-0.8578","-0.7415","-0.6996","-0.678","-0.6347","-0.3247","numeric"
"fBodyBodyGyroMag-meanFreq()","-0.2297","-0.1093","-0.04364","-0.03699","0.02843","0.1572","numeric"
"fBodyBodyGyroJerkMag-mean()","-0.9054","-0.8335","-0.7899","-0.7652","-0.7186","-0.436","numeric"
"fBodyBodyGyroJerkMag-std()","-0.9048","-0.8419","-0.7974","-0.7812","-0.7375","-0.5376","numeric"
"fBodyBodyGyroJerkMag-meanFreq()","-0.04702","0.0762","0.1249","0.1285","0.1855","0.2815","numeric"
"angle(tBodyAccMean,gravity)","-0.02684","0.001351","0.00514","0.008814","0.01275","0.09803","numeric"
"angle(tBodyAccJerkMean),gravityMean)","-0.06748","-0.01085","0.003712","0.001429","0.01643","0.06591","numeric"
"angle(tBodyGyroMean,gravityMean)","-0.1267","-0.01579","0.01216","0.01496","0.04935","0.1189","numeric"
"angle(tBodyGyroJerkMean,gravityMean)","-0.06449","-0.02311","-0.01162","-0.008263","0.0167","0.05203","numeric"
"angle(X,gravityMean)","-0.8341","-0.541","-0.515","-0.507","-0.4434","-0.2977","numeric"
"angle(Y,gravityMean)","-0.07753","0.001584","0.07563","0.07101","0.1216","0.3118","numeric"
"angle(Z,gravityMean)","-0.1886","-0.09266","-0.044","-0.04811","-0.01226","0.1215","numeric"
